,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
0,New York Jets,16.5,-107.0,Baltimore Ravens,-16.5,-103.0,2019-12-12
1,Denver Broncos,9.5,-105.0,Kansas City Chiefs,-9.5,-105.0,2019-12-15
2,Tampa Bay Buccaneers,-3.5,-105.0,Detroit Lions,3.5,-105.0,2019-12-15
3,Houston Texans,3.0,-115.0,Tennessee Titans,-3.0,105.0,2019-12-15
4,Miami Dolphins,3.5,-110.0,New York Giants,-3.5,100.0,2019-12-15
5,Seattle Seahawks,-6.0,-105.0,Carolina Panthers,6.0,-105.0,2019-12-15
6,Chicago Bears,4.0,-105.0,Green Bay Packers,-4.0,-105.0,2019-12-15
7,New England Patriots,-9.0,-105.0,Cincinnati Bengals,9.0,-105.0,2019-12-15
8,Philadelphia Eagles,-4.0,-105.0,Washington Redskins,4.0,-105.0,2019-12-15
9,Cleveland Browns,-2.5,-115.0,Arizona Cardinals,2.5,105.0,2019-12-15
10,Jacksonville Jaguars,6.5,-105.0,Oakland Raiders,-6.5,-105.0,2019-12-15
11,Minnesota Vikings,-2.5,-105.0,Los Angeles Chargers,2.5,-105.0,2019-12-15
12,Atlanta Falcons,11.0,-105.0,San Francisco 49Ers,-11.0,-105.0,2019-12-15
13,Los Angeles Rams,-1.5,-105.0,Dallas Cowboys,1.5,-105.0,2019-12-15
14,Buffalo Bills,1.5,-103.0,Pittsburgh Steelers,-1.5,-107.0,2019-12-15
15,Indianapolis Colts,8.5,-105.0,New Orleans Saints,-8.5,-105.0,2019-12-16
