,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
0,Chicago Bears,-3.0,-110.0,Detroit Lions,3.0,100.0,2019-11-28
1,Buffalo Bills,7.0,-113.0,Dallas Cowboys,-7.0,103.0,2019-11-28
2,New York Jets,-7.0,104.0,Atlanta Falcons,7.0,-114.0,2019-11-28
3,Philadelphia Eagles,-9.5,-105.0,Miami Dolphins,9.5,-105.0,2019-12-01
4,New Orleans Saints,-3.5,105.0,Cincinnati Bengals,3.5,-115.0,2019-12-01
5,Tennessee Titans,2.5,100.0,Indianapolis Colts,-2.5,-110.0,2019-12-01
6,Cleveland Browns,-2.0,-105.0,Pittsburgh Steelers,2.0,-105.0,2019-12-01
7,Washington Redskins,10.0,-108.0,Carolina Panthers,-10.0,-102.0,2019-12-01
8,Green Bay Packers,-6.5,-105.0,New England Patriots,6.5,-105.0,2019-12-01
9,San Francisco 49Ers,6.0,-105.0,Baltimore Ravens,-6.0,-105.0,2019-12-01
10,Tampa Bay Buccaneers,1.0,-105.0,Jacksonville Jaguars,-1.0,-105.0,2019-12-01
11,Los Angeles Rams,-3.0,-105.0,Arizona Cardinals,3.0,-105.0,2019-12-01
12,Oakland Raiders,9.5,-102.0,Kansas City Chiefs,-9.5,-108.0,2019-12-01
13,Los Angeles Chargers,-2.5,-120.0,Denver Broncos,2.5,110.0,2019-12-01
14,New York Giants,-3.0,-115.0,Houston Texans,3.0,105.0,2019-12-01
15,Minnesota Vikings,3.0,-110.0,Seattle Seahawks,-3.0,100.0,2019-12-02
