,Away,Away_Spread,Away_Payout,Home,Home_Spread,Home_Payout,Date
0,Green Bay Packers,3.5,-115.0,Chicago Bears,-3.5,105.0,2019-09-05
1,Kansas City Chiefs,-3.5,100.0,Jacksonville Jaguars,3.5,-110.0,2019-09-08
2,Los Angeles Rams,-1.5,-105.0,Carolina Panthers,1.5,-105.0,2019-09-08
3,Atlanta Falcons,3.5,-110.0,Minnesota Vikings,-3.5,100.0,2019-09-08
4,Tennessee Titans,5.5,-109.0,Cleveland Browns,-5.5,-101.0,2019-09-08
5,Baltimore Ravens,-7.0,-105.0,Miami Dolphins,7.0,-105.0,2019-09-08
6,Cincinnati Bengals,9.0,-105.0,Seattle Seahawks,-9.0,-105.0,2019-09-08
7,Indianapolis Colts,6.0,-105.0,Los Angeles Chargers,-6.0,-105.0,2019-09-08
8,San Francisco 49Ers,1.0,-105.0,Tampa Bay Buccaneers,-1.0,-105.0,2019-09-08
9,Detroit Lions,-2.5,-120.0,Arizona Cardinals,2.5,110.0,2019-09-08
10,New England Patriots,7.0,-110.0,Dallas Cowboys,-7.0,100.0,2019-09-08
11,Pittsburgh Steelers,5.5,-107.0,New York Giants,-5.5,-103.0,2019-09-08
12,Houston Texans,6.5,102.0,New York Jets,-6.5,-112.0,2019-09-09
13,Tampa Bay Buccaneers,6.5,-108.0,Carolina Panthers,-6.5,-102.0,2019-09-12
14,Dallas Cowboys,-6.5,-105.0,Washington Redskins,6.5,-105.0,2019-09-15
15,Seattle Seahawks,4.0,-105.0,Pittsburgh Steelers,-4.0,-105.0,2019-09-15
16,Minnesota Vikings,3.0,-105.0,Green Bay Packers,-3.0,-105.0,2019-09-15
17,Buffalo Bills,-1.0,-108.0,New England Patriots,1.0,-102.0,2019-09-15
18,Jacksonville Jaguars,7.0,-105.0,Houston Texans,-7.0,-105.0,2019-09-15
19,Arizona Cardinals,13.0,-105.0,Baltimore Ravens,-13.0,-105.0,2019-09-15
20,San Francisco 49Ers,1.0,-105.0,Cincinnati Bengals,-1.0,-105.0,2019-09-15
21,New York Giants,-18.0,-105.0,Miami Dolphins,18.0,-105.0,2019-09-15
22,Kansas City Chiefs,-6.5,-110.0,Oakland Raiders,6.5,100.0,2019-09-15
23,Chicago Bears,-2.5,-120.0,Denver Broncos,2.5,110.0,2019-09-15
24,New York Jets,2.0,-105.0,Los Angeles Rams,-2.0,-105.0,2019-09-15
25,Philadelphia Eagles,-1.0,-106.0,Atlanta Falcons,1.0,-104.0,2019-09-15
26,Cleveland Browns,-6.5,-112.0,New Orleans Saints,6.5,102.0,2019-09-16
27,Tennessee Titans,-2.0,-103.0,Jacksonville Jaguars,2.0,-107.0,2019-09-19
28,Baltimore Ravens,4.0,-102.0,Kansas City Chiefs,-4.0,-108.0,2019-09-22
29,Cincinnati Bengals,6.0,-110.0,Buffalo Bills,-6.0,100.0,2019-09-22
30,New Orleans Saints,21.0,-110.0,New York Giants,-21.0,100.0,2019-09-22
31,Detroit Lions,4.0,-105.0,Philadelphia Eagles,-4.0,-105.0,2019-09-22
32,Oakland Raiders,9.0,-109.0,Minnesota Vikings,-9.0,-101.0,2019-09-22
33,Miami Dolphins,22.0,-105.0,Dallas Cowboys,-22.0,-105.0,2019-09-22
34,New England Patriots,5.0,-101.0,Tampa Bay Buccaneers,-5.0,-109.0,2019-09-22
35,Carolina Panthers,2.5,-107.0,Arizona Cardinals,-2.5,-103.0,2019-09-22
36,Pittsburgh Steelers,6.0,-105.0,San Francisco 49Ers,-6.0,-105.0,2019-09-22
37,Houston Texans,3.0,100.0,Los Angeles Chargers,-3.0,-110.0,2019-09-22
38,New York Jets,5.0,-105.0,Seattle Seahawks,-5.0,-105.0,2019-09-22
39,Los Angeles Rams,-4.5,-102.0,Cleveland Browns,4.5,-108.0,2019-09-22
40,Chicago Bears,-5.0,-105.0,Washington Redskins,5.0,-105.0,2019-09-23
41,Philadelphia Eagles,3.5,-107.0,Green Bay Packers,-3.5,-103.0,2019-09-26
42,Kansas City Chiefs,-7.0,-110.0,Detroit Lions,7.0,100.0,2019-09-29
43,New York Giants,-7.0,-108.0,Buffalo Bills,7.0,-102.0,2019-09-29
